TransactionID,UserID,TransactionAmount,TransactionDate,TransactionType,Merchant,Location,CardType,IsFraud
1,4174,3147.42,2024-01-01 00:00:00,Online,"Smith, Roberts and Owens",North Brendabury,Discover,0
2,4507,3966.09,2024-01-01 00:01:00,POS,Smith LLC,Ramirezstad,MasterCard,0
3,1860,667.56,2024-01-01 00:02:00,POS,,Woodfurt,Visa,0
4,2294,2595.6,2024-01-01 00:03:00,POS,Travis-Mcdonald,Harrisstad,MasterCard,0
5,2130,3896.44,2024-01-01 00:04:00,Online,Ruiz and Sons,Bobbyhaven,MasterCard,0
6,2095,1306.86,2024-01-01 00:05:00,Online,"Freeman, Blair and Schneider",Wagnerside,Amex,0
7,4772,818.77,2024-01-01 00:06:00,POS,Baldwin Ltd,Danielbury,MasterCard,0
8,4092,1687.41,2024-01-01 00:07:00,POS,Brown Group,Johnsonbury,MasterCard,0
9,2638,2775.72,2024-01-01 00:08:00,ATM Withdrawal,Garrett-Smith,Rossfort,Visa,0
10,3169,2878.52,2024-01-01 00:09:00,ATM Withdrawal,"Harrison, Wright and Murphy",Katherinestad,Amex,0
11,1466,658.73,2024-01-01 00:10:00,Online,Brooks-Ross,Michaelberg,Amex,0
12,2238,2290.56,2024-01-01 00:11:00,ATM Withdrawal,Nunez-Martinez,Williamville,Discover,0
13,1330,1345.07,2024-01-01 00:12:00,Online,"Ruiz, Smith and Perez",Romerotown,Discover,0
14,2482,4210.91,2024-01-01 00:13:00,Online,"Peterson, Schwartz and Norris",North Kristin,Discover,0
15,3135,1571.31,2024-01-01 00:14:00,Online,Brown Inc,Brendatown,Amex,0
16,4444,4194.33,2024-01-01 00:15:00,POS,"Bennett, Moore and Hall",Charlesport,MasterCard,0
17,4171,2145.68,2024-01-01 00:16:00,ATM Withdrawal,Smith LLC,Port Michael,Amex,0
18,3919,3634.3,2024-01-01 00:17:00,ATM Withdrawal,"Martin, Mora and Larson",Catherinefurt,MasterCard,0
19,4735,2552.75,2024-01-01 00:18:00,ATM Withdrawal,Fields-Jones,Jenniferview,Discover,0
20,1130,3111.7,2024-01-01 00:19:00,ATM Withdrawal,Wolfe LLC,Port James,Discover,0
21,2685,1979.81,2024-01-01 00:20:00,POS,Weiss-Newton,Patriciaview,MasterCard,0
22,4380,3842.19,2024-01-01 00:21:00,ATM Withdrawal,Nolan-Pena,Greenburgh,MasterCard,0
23,1769,2128.82,2024-01-01 00:22:00,ATM Withdrawal,"Simmons, Meyer and Wright",East Davidmouth,Discover,0
24,3391,2290.02,2024-01-01 00:23:00,POS,"Schroeder, Ali and Gillespie",Brandonhaven,MasterCard,0
25,2515,2590.8,2024-01-01 00:24:00,ATM Withdrawal,Jones-Reynolds,Lake Jeffrey,Amex,0
26,4485,4159.96,2024-01-01 00:25:00,ATM Withdrawal,"Humphrey, Garcia and Harris",Jeremychester,Discover,1
27,3853,3298.6,2024-01-01 00:26:00,POS,Davis Inc,Port Courtney,Amex,0
28,3433,1749.06,2024-01-01 00:27:00,POS,Armstrong Ltd,Travisshire,Discover,0
29,2215,3353.25,2024-01-01 00:28:00,POS,"James, Schultz and Howard",North Tony,Visa,0
30,1955,3213.92,2024-01-01 00:29:00,POS,Wang LLC,South Martinport,Amex,0
31,3324,4655.44,2024-01-01 00:30:00,Online,Moore-Ward,Staceystad,Visa,0
32,2184,4207.88,2024-01-01 00:31:00,POS,"Jenkins, Montgomery and Martinez",Juliemouth,Discover,0
33,1459,3239.0,2024-01-01 00:32:00,ATM Withdrawal,"Johnson, Finley and Thompson",East Haydenton,Amex,0
34,4385,1710.83,2024-01-01 00:33:00,ATM Withdrawal,Griffin-Powers,East Robert,Amex,0
35,1021,3898.98,2024-01-01 00:34:00,ATM Withdrawal,"Ramirez, Castro and Lawson",South Lisaville,Amex,0
36,3300,2878.17,2024-01-01 00:35:00,ATM Withdrawal,Dunlap PLC,Maddoxstad,MasterCard,0
37,1747,4926.42,2024-01-01 00:36:00,Online,Rojas-Stevens,North Jefferyberg,Amex,0
38,3904,1241.29,2024-01-01 00:37:00,Online,Collins-Howard,Riveramouth,Amex,0
39,4632,402.88,2024-01-01 00:38:00,Online,"Thompson, Rios and Ramirez",New Timothyberg,Visa,0
40,1474,354.11,2024-01-01 00:39:00,ATM Withdrawal,Hopkins-Swanson,Taylorberg,Amex,0
41,2082,3201.95,2024-01-01 00:40:00,ATM Withdrawal,Ramirez-Henderson,South Zachary,MasterCard,0
42,3558,4696.6,2024-01-01 00:41:00,POS,"Moore, Marshall and Reynolds",Douglaston,Amex,0
43,4753,14.65,2024-01-01 00:42:00,POS,"Harrison, Koch and Curry",Heatherberg,Visa,0
44,3047,3630.23,2024-01-01 00:43:00,ATM Withdrawal,Jordan-Barry,Lake Kaitlinstad,Amex,0
45,4547,,2024-01-01 00:44:00,POS,Chapman and Sons,South Aprilberg,Amex,0
46,3747,3662.86,2024-01-01 00:45:00,POS,Wong Inc,Craigport,Visa,0
47,1975,1780.25,2024-01-01 00:46:00,ATM Withdrawal,Thomas LLC,Lake Sharon,Discover,0
48,2806,4103.38,2024-01-01 00:47:00,Online,Santiago Ltd,North Jonathan,Amex,0
49,1189,228.31,2024-01-01 00:48:00,ATM Withdrawal,Williams PLC,Ellenberg,Discover,0
50,4005,3778.38,2024-01-01 00:49:00,ATM Withdrawal,Townsend-Miller,Mosleyborough,Visa,0
51,3734,1339.02,2024-01-01 00:50:00,POS,Baker-Hernandez,West Raymond,Visa,0
52,4005,2386.8,2024-01-01 00:51:00,POS,"Jimenez, Smith and Fuller",new james,Discover,0
53,1562,4114.07,2024-01-01 00:52:00,ATM Withdrawal,Mills and Sons,Turnermouth,MasterCard,0
54,2899,1360.44,2024-01-01 00:53:00,Online,Perez Ltd,North Monica,MasterCard,0
55,4638,930.11,2024-01-01 00:54:00,ATM Withdrawal,"Baker, Hawkins and Hays",South Kirk,Visa,0
56,2267,3408.16,2024-01-01 00:55:00,Online,Pierce and Sons,Jacobhaven,MasterCard,0
57,3879,2669.31,2024-01-01 00:56:00,,Dudley-Singh,Port Monica,MasterCard,0
58,2528,2574.45,2024-01-01 00:57:00,ATM Withdrawal,"Chapman, Howell and Thornton",Tabithachester,Visa,1
59,4202,1287.56,2024-01-01 00:58:00,ATM Withdrawal,Wilson PLC,Lake Ashley,Amex,0
60,4556,179.23,2024-01-01 00:59:00,ATM Withdrawal,Jones Group,Connerfort,Amex,0
61,4890,2054.29,2024-01-01 01:00:00,Online,Allison LLC,South Nicoleport,Amex,0
62,1646,537.26,2024-01-01 01:01:00,POS,French-Marks,Port James,MasterCard,0
63,3068,4530.42,2024-01-01 01:02:00,Online,Willis-Carlson,Danielshire,Discover,0
64,3888,211.05,2024-01-01 01:03:00,Online,Hobbs-Dickerson,Cruztown,MasterCard,0
65,3214,2161.1,2024-01-01 01:04:00,Online,Lewis-Sharp,lake john,Amex,0
66,2297,265.97,2024-01-01 01:05:00,POS,"Padilla, Gutierrez and Hamilton",Thompsontown,Visa,0
67,3435,482.24,2024-01-01 01:06:00,,"Malone, Smith and Dawson",Amandafort,Visa,0
68,1600,3296.04,2024-01-01 01:07:00,Online,"Campbell, Johnson and Warner",North Davidside,Visa,0
69,3363,3237.32,2024-01-01 01:08:00,Online,Bernard-Dixon,Emilyberg,MasterCard,0
70,3061,170.1,2024-01-01 01:09:00,POS,Garcia-Santos,Mirandaview,Discover,0
71,1241,10.65,2024-01-01 01:10:00,Online,Jones and Sons,North Mandymouth,Amex,0
72,3041,398.7,2024-01-01 01:11:00,POS,Flynn Ltd,Johnview,Visa,0
73,3824,3816.18,2024-01-01 01:12:00,POS,Sanders-Brooks,Brianland,Amex,0
74,4417,2924.96,2024-01-01 01:13:00,ATM Withdrawal,"Silva, Young and Blevins",Rodriguezburgh,Amex,0
75,3612,195.4,2024-01-01 01:14:00,ATM Withdrawal,Palmer Group,Kevinfort,MasterCard,0
76,3945,,2024-01-01 01:15:00,ATM Withdrawal,,Morenoburgh,Visa,0
77,2363,3561.59,2024-01-01 01:16:00,POS,French Inc,Smithland,MasterCard,0
78,3139,4345.41,2024-01-01 01:17:00,ATM Withdrawal,Gregory LLC,Geoffreystad,Amex,0
79,2390,4670.51,2024-01-01 01:18:00,ATM Withdrawal,"Nelson, Chase and Schaefer",Watkinsborough,Amex,0
80,4003,1640.57,2024-01-01 01:19:00,ATM Withdrawal,Brennan Inc,Robertsfort,Amex,0
81,2478,683.48,2024-01-01 01:20:00,POS,Davidson-Miller,Pruitttown,Visa,0
82,4499,1188.44,2024-01-01 01:21:00,Online,"Graham, Mcbride and Robinson",Port Beverly,Visa,0
83,3556,,2024-01-01 01:22:00,ATM Withdrawal,"Johnson, Lewis and Johnson",Lake Jenniferfort,Visa,0
84,1775,4857.56,2024-01-01 01:23:00,ATM Withdrawal,"Ingram, Reynolds and Lamb",North James,Amex,0
85,1034,2334.64,2024-01-01 01:24:00,ATM Withdrawal,Morris Group,Anneborough,Amex,0
86,3253,1530.24,2024-01-01 01:25:00,,Roberts-Reed,Port John,Discover,0
87,4152,2148.81,2024-01-01 01:26:00,POS,Kelly Group,Davidbury,Visa,0
88,2955,,2024-01-01 01:27:00,Online,Tucker and Sons,Johnshire,Amex,0
89,2585,1286.16,2024-01-01 01:28:00,Online,Lucas-Houston,Lake Rebekah,Amex,0
90,4943,2970.79,2024-01-01 01:29:00,ATM Withdrawal,Reid and Sons,Schaefershire,Discover,0
91,4459,83.6,2024-01-01 01:30:00,Online,Brown-King,West Michaelbury,Discover,0
92,4073,1301.46,2024-01-01 01:31:00,ATM Withdrawal,Shaw Inc,Samuelshire,Amex,0
93,2021,3308.6,2024-01-01 01:32:00,ATM Withdrawal,Meza Group,Lake Peterhaven,Visa,0
94,4461,165.15,2024-01-01 01:33:00,Online,"Mann, Simmons and Guzman",Lake Troyview,MasterCard,0
95,3613,420.59,2024-01-01 01:34:00,Online,Gray LLC,Contrerashaven,MasterCard,0
96,2129,1470.51,2024-01-01 01:35:00,POS,Li-Malone,Port Seanton,MasterCard,0
97,4843,4389.63,2024-01-01 01:36:00,ATM Withdrawal,Bush Inc,South Elizabeth,Visa,0
98,4893,3825.61,2024-01-01 01:37:00,Online,Jensen-Hodge,South Kristen,Amex,0
99,2500,115.67,2024-01-01 01:38:00,POS,Ramos-Weiss,Rodriguezhaven,MasterCard,0
100,1702,2511.06,2024-01-01 01:39:00,Online,"Small, Elliott and Hanson",Port Michaelmouth,MasterCard,0
101,3449,1377.06,2024-01-01 01:40:00,Online,Garza-Vasquez,North Georgeburgh,Visa,0
102,3777,3244.99,2024-01-01 01:41:00,ATM Withdrawal,"Bennett, Cooper and Bruce",South Alyssaport,Amex,0
103,2579,3609.16,2024-01-01 01:42:00,POS,"Hernandez, Kane and Edwards",West Peterton,Amex,0
104,1161,4315.0,2024-01-01 01:43:00,ATM Withdrawal,Estrada Inc,East Michaelhaven,Visa,0
105,1201,2379.7,2024-01-01 01:44:00,Online,Stevens Inc,New Jeff,MasterCard,0
106,2981,4972.28,2024-01-01 01:45:00,POS,Frey Inc,Michellehaven,Amex,0
107,1995,4900.03,2024-01-01 01:46:00,ATM Withdrawal,"Haley, Tanner and Johnson",Port Christopher,Amex,0
108,3317,4411.42,2024-01-01 01:47:00,POS,Gregory PLC,Shepherdmouth,MasterCard,0
109,4934,2876.47,2024-01-01 01:48:00,Online,"Mack, Castillo and Zamora",Anthonyborough,Visa,0
110,1815,1993.04,2024-01-01 01:49:00,POS,"Kelly, Newman and Delgado",Bennettland,MasterCard,0
111,4342,1825.11,2024-01-01 01:50:00,Online,"Johnson, Figueroa and Tran",Cunninghammouth,Discover,0
112,1455,65.56,2024-01-01 01:51:00,ATM Withdrawal,Simmons-Coleman,Lake Vickie,Amex,0
113,4533,1249.63,2024-01-01 01:52:00,Online,Sawyer-Anderson,Port Brian,Visa,0
114,4798,3595.45,2024-01-01 01:53:00,Online,"Greer, Huff and Munoz",South Angela,MasterCard,0
115,2275,3020.14,2024-01-01 01:54:00,POS,Phillips-Church,East Ronnie,MasterCard,0
116,2016,4582.53,2024-01-01 01:55:00,POS,,East Joseph,Visa,0
117,4773,254.86,2024-01-01 01:56:00,ATM Withdrawal,Williams LLC,South David,Amex,0
118,3343,780.61,2024-01-01 01:57:00,POS,Flores LLC,North Austinberg,Visa,0
119,4796,3947.27,2024-01-01 01:58:00,ATM Withdrawal,Alvarado-Daniel,Lewisshire,Discover,0
120,3767,1795.75,2024-01-01 01:59:00,Online,Williams-Montoya,Fritzmouth,Visa,0
121,4820,596.13,2024-01-01 02:00:00,Online,Smith Inc,Williamburgh,Discover,0
122,1337,4982.27,2024-01-01 02:01:00,POS,Bailey-Tate,Wendytown,Amex,0
123,1878,3937.32,2024-01-01 02:02:00,Online,Richardson and Sons,Jackmouth,MasterCard,0
124,2076,2046.66,2024-01-01 02:03:00,Online,"Dyer, Howard and Adams",East Brian,Discover,0
125,1791,4117.62,2024-01-01 02:04:00,ATM Withdrawal,Christian Group,Schroedershire,Discover,0
126,4993,3404.62,2024-01-01 02:05:00,POS,Davis and Sons,Julieburgh,Visa,0
127,3264,3950.92,2024-01-01 02:06:00,ATM Withdrawal,Valdez-Lewis,Lake Jennifer,Visa,0
128,1763,4076.96,2024-01-01 02:07:00,Online,"Graves, Peck and Johnson",Lake Nicholas,MasterCard,0
129,3235,428.22,2024-01-01 02:08:00,Online,"Gilmore, Moore and Martinez",Hillport,Amex,0
130,1379,3116.75,2024-01-01 02:09:00,Online,"Morris, Preston and Young",Patelton,Discover,0
131,1492,38.89,2024-01-01 02:10:00,POS,"Martinez, Bernard and Gray",South Jonathan,MasterCard,0
132,4112,222.06,2024-01-01 02:11:00,Online,Cox-Snyder,Chelseamouth,Discover,0
133,2180,4520.38,2024-01-01 02:12:00,Online,"Robinson, Barnes and Collins",West Mckenzie,MasterCard,0
134,3062,2640.18,2024-01-01 02:13:00,ATM Withdrawal,Long PLC,North Heatherborough,Visa,0
135,4884,3680.83,2024-01-01 02:14:00,,"Gutierrez, Anderson and Kramer",Weeksland,Visa,0
136,1064,4193.31,2024-01-01 02:15:00,Online,Ashley-Wilson,Lake Christopher,Amex,0
137,4928,4748.19,2024-01-01 02:16:00,ATM Withdrawal,"Williams, Soto and Martinez",Higginsport,Visa,0
138,4910,4347.42,2024-01-01 02:17:00,Online,Randall Inc,New Jennifer,MasterCard,0
139,3568,2419.14,2024-01-01 02:18:00,ATM Withdrawal,Johnson Ltd,Stevensshire,Discover,0
140,2367,1683.17,2024-01-01 02:19:00,Online,"Cross, Bartlett and Collins",Harrisonville,MasterCard,0
141,2152,776.69,2024-01-01 02:20:00,POS,"Black, Rose and Jones",Fernandezland,Amex,0
142,3027,2004.61,2024-01-01 02:21:00,POS,Griffin-Kelly,New Thomas,Visa,0
143,3695,1835.64,2024-01-01 02:22:00,ATM Withdrawal,"Davis, Jones and Allen",Jenniferville,Visa,0
144,2495,2800.08,2024-01-01 02:23:00,Online,"Leonard, Black and Clark",Lake Christophershire,Discover,0
145,4134,3329.22,2024-01-01 02:24:00,POS,Brown-Johnson,Port Keith,Amex,0
146,2162,4891.74,2024-01-01 02:25:00,Online,Cochran-Li,Lake Christopher,Amex,0
147,2522,3643.29,2024-01-01 02:26:00,POS,Taylor LLC,Snyderton,Visa,0
148,3640,3220.52,2024-01-01 02:27:00,ATM Withdrawal,Ward and Sons,West Phillipland,Amex,0
149,1391,1678.79,2024-01-01 02:28:00,POS,"Marshall, Wilson and Lopez",Jenniferbury,MasterCard,0
150,2698,177.35,2024-01-01 02:29:00,Online,Webb-Day,South Elizabeth,Amex,0
151,1418,1444.19,2024-01-01 02:30:00,Online,Fernandez-Baker,South Amandaville,MasterCard,0
152,3336,3843.4,2024-01-01 02:31:00,Online,Schultz Ltd,Lake Laurie,MasterCard,0
153,1378,1030.33,2024-01-01 02:32:00,ATM Withdrawal,Fields-Anthony,South Johnhaven,MasterCard,0
154,2796,3562.38,2024-01-01 02:33:00,ATM Withdrawal,Hodge Ltd,North Robert,Visa,0
155,4561,2901.0,2024-01-01 02:34:00,Online,Gilmore Group,Whiteville,MasterCard,0
156,3278,863.43,2024-01-01 02:35:00,Online,"Howard, Miles and Klein",Lake Ann,Discover,0
