TransactionID,UserID,TransactionAmount,TransactionDate,TransactionType,Merchant,Location,CardType,IsFraud
1,4174,3036.1,2024-01-01 00:00:00,ATM Withdrawal,Buchanan PLC,Dunnmouth,Amex,0
2,4507,604.01,2024-01-01 00:01:00,POS,"Turner, Williams and Simon",Melendezport,MasterCard,0
3,1860,1607.06,2024-01-01 00:02:00,POS,Farrell-Graham,Shirleystad,Amex,0
4,2294,4338.87,,ATM Withdrawal,Nixon-Thomas,Johnsonberg,Discover,0
5,2130,1166.68,,ATM Withdrawal,Woodward PLC,Gentrymouth,MasterCard,0
6,2095,3040.44,2024-01-01 00:05:00,ATM Withdrawal,York-Mann,South Jorgeport,MasterCard,0
7,4772,2016.34,,Online,Ewing-Jordan,New Brian,Discover,0
8,4092,1043.18,2024-01-01 00:07:00,POS,"Sanders, Ward and Sims",Lake Jamesfurt,Amex,0
9,2638,4067.97,2024-01-01 00:08:00,POS,Miller PLC,Knappville,Discover,0
10,3169,3715.44,2024-01-01 00:09:00,Online,"Bell, Skinner and Becker",Charlesstad,Amex,0
11,1466,3309.65,2024-01-01 00:10:00,Online,Adams Ltd,Sharpmouth,Amex,0
12,2238,1185.5,2024-01-01 00:11:00,Online,Herrera Ltd,Blackburntown,Amex,0
13,1330,493.8,2024-01-01 00:12:00,POS,Hanna Group,Lisaport,Discover,0
14,2482,2882.92,2024-01-01 00:13:00,Online,"Davis, Clark and Duncan",North Christineton,Discover,0
15,3135,2770.62,2024-01-01 00:14:00,Online,"Cummings, Jackson and Mueller",East Jenniferstad,Visa,0
16,4444,945.98,2024-01-01 00:15:00,Online,,Knightchester,Discover,1
17,4171,285.95,2024-01-01 00:16:00,ATM Withdrawal,Lewis and Sons,South Connie,MasterCard,0
18,3919,408.14,2024-01-01 00:17:00,Online,Howell and Sons,Rodgersburgh,MasterCard,0
19,4735,4963.89,2024-01-01 00:18:00,ATM Withdrawal,"Burns, Williams and Fisher",New Amystad,MasterCard,0
20,1130,3919.0,2024-01-01 00:19:00,POS,Dudley LLC,Chavezfurt,MasterCard,0
21,2685,4610.33,2024-01-01 00:20:00,POS,Johnson-Zavala,Port Donald,Visa,0
22,4380,979.3,2024-01-01 00:21:00,POS,Chung-Morrow,Smithport,Discover,0
23,1769,4803.04,2024-01-01 00:22:00,ATM Withdrawal,"Williams, Russo and Mann",West Vicki,Discover,0
24,3391,717.56,2024-01-01 00:23:00,Online,Russell Ltd,Martinstad,Amex,0
25,2515,2547.86,2024-01-01 00:24:00,POS,Lyons-Wilson,Carlaberg,Discover,0
26,4485,4149.33,2024-01-01 00:25:00,Online,"Nelson, Chavez and Gates",East Jennifer,Amex,0
27,3853,1752.27,2024-01-01 00:26:00,ATM Withdrawal,Grant-Stanley,Nelsonside,Amex,0
28,3433,2127.02,2024-01-01 00:27:00,POS,Montgomery Ltd,East Steven,MasterCard,0
