TransactionID,UserID,TransactionAmount,TransactionDate,TransactionType,Merchant,Location,CardType,IsFraud
1,4174,3240.11,2024-01-01 00:00:00,ATM Withdrawal,Griffin-Walters,Calvinfurt,Visa,1
2,4507,2261.45,2024-01-01 00:01:00,,"Gamble, Garcia and Montgomery",North Kristen,Amex,0
3,1860,,2024-01-01 00:02:00,POS,"Copeland, Adams and Parker",New Kathyburgh,MasterCard,0
4,2294,423.81,2024-01-01 00:03:00,Online,Bennett Inc,Fordbury,Visa,0
5,2130,1738.5,2024-01-01 00:04:00,ATM Withdrawal,Harrison-Anderson,Brewerton,Amex,0
6,2095,2098.28,2024-01-01 00:05:00,Online,Martinez-Knight,Doyleport,Visa,0
7,4772,89.52,2024-01-01 00:06:00,Online,"Adkins, Hodges and Fuentes",Ginabury,MasterCard,0
8,4092,1827.96,2024-01-01 00:07:00,POS,Roberts Inc,East Randalltown,Discover,0
9,2638,1372.18,2024-01-01 00:08:00,POS,Turner-Curtis,South Anna,Visa,0
10,3169,2532.65,2024-01-01 00:09:00,ATM Withdrawal,"Alexander, Bennett and Hicks",Port Stephenton,Amex,0
11,1466,1685.37,2024-01-01 00:10:00,POS,"Wells, Martinez and Garcia",Port Michelle,MasterCard,0
12,2238,3632.28,2024-01-01 00:11:00,ATM Withdrawal,Hicks PLC,Port Stephenbury,Amex,0
13,1330,2552.11,2024-01-01 00:12:00,ATM Withdrawal,Diaz Group,South Rebeccachester,MasterCard,0
14,2482,653.16,2024-01-01 00:13:00,ATM Withdrawal,Mcclain LLC,West Ashleymouth,Discover,0
15,3135,3751.56,2024-01-01 00:14:00,Online,"Fuller, Chaney and Benitez",Mariefurt,Discover,0
16,4444,500.65,2024-01-01 00:15:00,Online,Howard-Miller,West Willieshire,Amex,0
17,4171,4196.05,2024-01-01 00:16:00,POS,Walker-Skinner,West Jessica,Discover,0
18,3919,4657.45,2024-01-01 00:17:00,POS,"Gamble, Burke and Jackson",Mccarthyville,Visa,0
19,4735,1615.61,2024-01-01 00:18:00,,Ramos-Hurst,South Teresaland,MasterCard,0
20,1130,4631.08,2024-01-01 00:19:00,ATM Withdrawal,West Ltd,Matthewport,MasterCard,0
21,2685,3966.08,2024-01-01 00:20:00,Online,Hull LLC,Bakerchester,MasterCard,0
22,4380,4612.57,2024-01-01 00:21:00,Online,Bond-Martinez,West Bradbury,Discover,0
23,1769,3333.02,2024-01-01 00:22:00,ATM Withdrawal,Anderson-Garcia,Leonardberg,Discover,0
24,3391,1182.04,2024-01-01 00:23:00,ATM Withdrawal,Cohen-Baldwin,Oconnellstad,Visa,0
25,2515,4473.14,2024-01-01 00:24:00,POS,Shelton-Cain,Kimberlytown,Discover,0
26,4485,925.4,2024-01-01 00:25:00,ATM Withdrawal,Morris-Bowen,North Christian,MasterCard,0
27,3853,1069.24,2024-01-01 00:26:00,ATM Withdrawal,Hall Inc,brandontown,Visa,0
28,3433,1358.96,2024-01-01 00:27:00,ATM Withdrawal,Henry PLC,Charlesside,Visa,0
29,2215,1524.71,2024-01-01 00:28:00,Online,Estrada-Moss,Ryanchester,MasterCard,0
30,1955,2574.83,2024-01-01 00:29:00,Online,"Banks, Morris and Taylor",North John,Amex,0
31,3324,3568.72,2024-01-01 00:30:00,POS,Russell-Torres,North Philip,Discover,0
32,2184,4631.41,2024-01-01 00:31:00,POS,Jackson-Hubbard,Thomasville,Discover,0
33,1459,446.75,2024-01-01 00:32:00,POS,"Boyle, Cordova and Williams",Lake Andrewland,MasterCard,0
34,4385,4772.07,2024-01-01 00:33:00,ATM Withdrawal,White-Horne,Port James,Amex,0
35,1021,4607.01,2024-01-01 00:34:00,ATM Withdrawal,Bauer-Bates,Fitzgeraldshire,Discover,0
36,3300,274.73,2024-01-01 00:35:00,Online,"Sullivan, Owens and Johnson",North Martha,Amex,0
37,1747,1804.8,2024-01-01 00:36:00,ATM Withdrawal,"Hughes, Allen and Blanchard",North Robert,MasterCard,0
38,3904,4066.65,2024-01-01 00:37:00,ATM Withdrawal,"Morris, Lewis and Gibson",Lake Nicole,MasterCard,0
39,4632,3059.82,2024-01-01 00:38:00,Online,Coleman Group,New Richard,Amex,0
40,1474,3896.57,2024-01-01 00:39:00,POS,Shelton-Gardner,Powellside,MasterCard,0
41,2082,3596.57,2024-01-01 00:40:00,ATM Withdrawal,Bryant-Hamilton,South Robert,MasterCard,0
42,3558,2486.37,2024-01-01 00:41:00,Online,Munoz-Clark,North Karahaven,Visa,1
43,4753,210.88,2024-01-01 00:42:00,Online,Gibson PLC,Briannachester,Amex,0
44,3047,2923.42,2024-01-01 00:43:00,POS,Kerr-Kelly,New Lorraineberg,Discover,0
45,4547,247.59,2024-01-01 00:44:00,Online,Roberts-Robinson,Crosbybury,Discover,0
46,3747,3020.61,2024-01-01 00:45:00,POS,"Sampson, Ingram and Swanson",Johnborough,Visa,0
47,1975,4003.05,2024-01-01 00:46:00,POS,Barnes-Logan,Ewingfort,MasterCard,0
48,2806,2927.03,2024-01-01 00:47:00,POS,"Moore, Newman and Klein",New Sherrifort,MasterCard,0
49,1189,4985.12,2024-01-01 00:48:00,POS,"Rodriguez, Taylor and Flowers",Hartton,Visa,0
50,4005,2282.05,2024-01-01 00:49:00,POS,"Ryan, Brown and Pena",Jordanberg,Visa,0
51,3734,3745.39,2024-01-01 00:50:00,Online,Graves-Cline,North Rhonda,MasterCard,0
52,4005,3337.73,2024-01-01 00:51:00,ATM Withdrawal,Moore and Sons,Burnettview,Amex,0
53,1562,4957.2,2024-01-01 00:52:00,POS,Adams Ltd,Lake Stephanie,Visa,0
54,2899,3567.53,2024-01-01 00:53:00,POS,Jones PLC,West Michaeltown,Amex,0
55,4638,824.33,2024-01-01 00:54:00,ATM Withdrawal,Swanson-George,Lake Christopher,Discover,0
56,2267,4777.81,2024-01-01 00:55:00,ATM Withdrawal,Carrillo LLC,South Ricardofort,MasterCard,0
57,3879,3340.55,2024-01-01 00:56:00,POS,Ramos-Russell,Ayersfort,Amex,0
58,2528,301.39,2024-01-01 00:57:00,ATM Withdrawal,"Dillon, Campbell and Fuller",West Ronald,Amex,0
59,4202,3289.55,2024-01-01 00:58:00,POS,Jones and Sons,Joneshaven,MasterCard,0
60,4556,4416.18,2024-01-01 00:59:00,Online,Lane-Luna,Brianfort,MasterCard,0
61,4890,2887.32,2024-01-01 01:00:00,ATM Withdrawal,"Washington, Fitzgerald and Cooley",Bakerburgh,Discover,0
62,1646,1773.33,2024-01-01 01:01:00,ATM Withdrawal,Jones-Santana,Samanthaburgh,MasterCard,0
63,3068,4105.44,2024-01-01 01:02:00,Online,Grimes Group,North Lisa,Amex,0
64,3888,3913.65,2024-01-01 01:03:00,ATM Withdrawal,Delgado Inc,Port Kathrynfort,Visa,0
65,3214,2723.19,2024-01-01 01:04:00,Online,Brown-Sherman,East Joshua,MasterCard,0
66,2297,776.04,2024-01-01 01:05:00,POS,Jackson PLC,North Catherinehaven,MasterCard,0
67,3435,1258.68,2024-01-01 01:06:00,ATM Withdrawal,Cooper Group,South Crystalland,Visa,0
68,1600,3693.73,2024-01-01 01:07:00,ATM Withdrawal,Gould-Hill,Fuentesborough,MasterCard,0
69,3363,4031.38,2024-01-01 01:08:00,Online,"Williams, Holmes and Costa",West Biancaberg,MasterCard,0
70,3061,1399.93,2024-01-01 01:09:00,POS,Miller-Yu,South Georgeville,Visa,0
71,1241,1843.09,2024-01-01 01:10:00,POS,Taylor-Cervantes,Troyhaven,Amex,0
72,3041,392.77,2024-01-01 01:11:00,Online,Rodriguez LLC,West Vanessa,Discover,0
73,3824,3568.74,2024-01-01 01:12:00,ATM Withdrawal,Moore-Campbell,New Samanthaview,Discover,0
74,4417,22.87,2024-01-01 01:13:00,ATM Withdrawal,Gonzales Inc,Luischester,Discover,0
75,3612,237.47,2024-01-01 01:14:00,Online,"Hernandez, Reese and Alexander",West Leah,Amex,0
76,3945,26.7,2024-01-01 01:15:00,Online,Thomas Inc,South Olivia,Discover,0
77,2363,3228.37,2024-01-01 01:16:00,Online,Garcia Group,Port Christineburgh,Amex,0
78,3139,2089.85,2024-01-01 01:17:00,ATM Withdrawal,Case-Phillips,West Dean,MasterCard,0
79,2390,1491.25,2024-01-01 01:18:00,Online,"Wilson, Patterson and Diaz",Mendozashire,Discover,0
80,4003,4563.94,2024-01-01 01:19:00,POS,Ward LLC,New Felicia,Visa,1
81,2478,968.05,2024-01-01 01:20:00,Online,"Reese, Small and Lam",Jorgeborough,Amex,0
82,4499,1949.89,2024-01-01 01:21:00,POS,Carpenter Ltd,New Kayla,Discover,0
83,3556,4701.86,2024-01-01 01:22:00,POS,"Davis, Burnett and Ramos",Lake Nicholas,Visa,0
84,1775,2138.4,2024-01-01 01:23:00,Online,"Mason, Peck and Parks",Arnoldton,Discover,0
85,1034,2775.69,2024-01-01 01:24:00,POS,Fry-Harris,Bryanborough,Amex,0
86,3253,406.28,2024-01-01 01:25:00,ATM Withdrawal,Jacobson and Sons,North Robertburgh,Amex,0
87,4152,3951.88,2024-01-01 01:26:00,Online,"Lyons, Thompson and Smith",South Lisa,MasterCard,0
88,2955,2116.68,2024-01-01 01:27:00,ATM Withdrawal,Small Group,Kelseyland,Amex,0
89,2585,4003.57,2024-01-01 01:28:00,ATM Withdrawal,Johnson-Hernandez,West Jaredport,Discover,0
90,4943,1272.72,2024-01-01 01:29:00,POS,,East Sandy,Amex,0
91,4459,2115.28,2024-01-01 01:30:00,ATM Withdrawal,Bailey-Moreno,East Maryburgh,Visa,0
92,4073,3933.81,2024-01-01 01:31:00,ATM Withdrawal,Burton-Small,Lake Emilytown,MasterCard,0
93,2021,4869.52,2024-01-01 01:32:00,Online,Turner Ltd,Port Julia,MasterCard,0
94,4461,302.83,2024-01-01 01:33:00,Online,Crawford Group,Blackborough,Amex,0
