TransactionID,UserID,TransactionAmount,TransactionDate,TransactionType,Merchant,Location,CardType,IsFraud
1,4174,2917.18,2024-01-01 00:00:00,POS,"Berry, Douglas and Torres",New Jennifermouth,Discover,0
2,4507,4545.04,2024-01-01 00:01:00,Online,Evans-Howard,Port Shawn,Visa,0
3,1860,4710.25,2024-01-01 00:02:00,POS,Juarez and Sons,Elizabethtown,MasterCard,0
4,2294,326.27,2024-01-01 00:03:00,Online,Williams-Campos,Thomasport,Amex,0
5,2130,2014.84,,Online,"Rodriguez, Ross and Hubbard",South Michaela,Discover,0
6,2095,122.18,2024-01-01 00:05:00,POS,Higgins-Mcdaniel,North Christopherside,Visa,0
7,4772,1650.44,2024-01-01 00:06:00,POS,"Caldwell, Anderson and Roberts",South Tammy,Visa,0
8,4092,2686.66,2024-01-01 00:07:00,ATM Withdrawal,Wright-Crosby,Moraleston,MasterCard,0
9,2638,4554.42,2024-01-01 00:08:00,Online,Ortiz-Massey,Ortegaview,Amex,0
10,3169,4233.54,2024-01-01 00:09:00,Online,"Davies, Lee and Adams",Howardland,MasterCard,0
11,1466,641.86,2024-01-01 00:10:00,POS,"Carter, Stokes and Heath",Allenchester,Discover,0
12,2238,469.69,2024-01-01 00:11:00,POS,"Nolan, Sims and Edwards",South William,Visa,0
13,1330,2948.39,2024-01-01 00:12:00,Online,Cruz LLC,Greenview,Visa,0
14,2482,2662.93,2024-01-01 00:13:00,Online,Thomas-Jones,North Mariabury,MasterCard,0
15,3135,1335.56,2024-01-01 00:14:00,POS,Clark Group,Mcguiremouth,MasterCard,0
16,4444,4497.77,2024-01-01 00:15:00,POS,"Palmer, Robbins and Clark",Perkinsbury,MasterCard,0
17,4171,4637.2,2024-01-01 00:16:00,Online,Martin PLC,Port Benjamin,Amex,0
18,3919,2016.04,2024-01-01 00:17:00,POS,"Rojas, Johnson and Walker",Sarafurt,Visa,0
19,4735,4452.06,2024-01-01 00:18:00,POS,"Meyer, Lawrence and Williams",Cookborough,Amex,0
20,1130,1922.82,2024-01-01 00:19:00,Online,"Caldwell, Ayala and Conley",Stewartshire,Discover,0
21,2685,3685.4,2024-01-01 00:20:00,ATM Withdrawal,"Martinez, Barton and Cox",South Emily,Amex,0
22,4380,2382.33,2024-01-01 00:21:00,POS,Wilson Inc,Danieltown,MasterCard,0
23,1769,617.3,2024-01-01 00:22:00,ATM Withdrawal,Solomon-Hammond,New Jillian,Discover,0
24,3391,4640.03,2024-01-01 00:23:00,POS,"Turner, Ruiz and Young",East William,Discover,0
25,2515,2273.21,2024-01-01 00:24:00,ATM Withdrawal,Morris-Bauer,Josephville,Amex,0
26,4485,3673.76,2024-01-01 00:25:00,POS,Davis PLC,Cochranview,Amex,0
27,3853,1839.03,2024-01-01 00:26:00,ATM Withdrawal,Lawrence-Hendricks,East Jessica,MasterCard,1
28,3433,99.31,2024-01-01 00:27:00,ATM Withdrawal,Martinez-Murray,Port Timothyfort,MasterCard,0
29,2215,507.15,2024-01-01 00:28:00,POS,Smith PLC,Port Richard,Discover,0
30,1955,2483.62,2024-01-01 00:29:00,ATM Withdrawal,Miller LLC,Phillipshaven,MasterCard,0
31,3324,3451.37,2024-01-01 00:30:00,Online,Collins Inc,Port Jacqueline,Visa,0
32,2184,1677.0,2024-01-01 00:31:00,Online,Gomez PLC,South Jamesshire,Visa,0
33,1459,3478.96,2024-01-01 00:32:00,Online,,East Julie,Discover,0
34,4385,3494.68,2024-01-01 00:33:00,ATM Withdrawal,Villarreal-Ashley,Evansville,Amex,0
35,1021,3521.16,2024-01-01 00:34:00,POS,"Jackson, Ortiz and Bailey",Jessicamouth,Amex,0
36,3300,2465.15,2024-01-01 00:35:00,ATM Withdrawal,Kelly-Grant,East Cheryl,Visa,1
37,1747,4574.86,2024-01-01 00:36:00,POS,Bartlett Ltd,Port Jane,Amex,0
38,3904,2448.54,2024-01-01 00:37:00,ATM Withdrawal,Bates LLC,Blakefurt,MasterCard,0
39,4632,2254.07,2024-01-01 00:38:00,POS,Dougherty Group,Millerburgh,,0
40,1474,1000.91,2024-01-01 00:39:00,ATM Withdrawal,"Carroll, Rogers and Mitchell",Leslieshire,Discover,0
41,2082,1541.74,2024-01-01 00:40:00,ATM Withdrawal,Austin-Lucas,West Shelbymouth,Amex,0
42,3558,216.46,2024-01-01 00:41:00,Online,Johnson-Martin,Clarkbury,Discover,0
43,4753,3169.51,2024-01-01 00:42:00,ATM Withdrawal,Watson Inc,Lake Michaelshire,Discover,0
44,3047,1246.44,2024-01-01 00:43:00,Online,"Roberts, Peterson and Lynch",Lake Justin,Amex,0
45,4547,1524.26,2024-01-01 00:44:00,POS,Johnson-Richards,East Kimberly,Amex,0
46,3747,3855.22,2024-01-01 00:45:00,POS,"Coleman, Gallagher and Frye",West Paulamouth,Visa,0
47,1975,1639.47,2024-01-01 00:46:00,Online,"Steele, Hicks and Wilson",Montoyaview,Visa,0
48,2806,1214.77,2024-01-01 00:47:00,ATM Withdrawal,Andrews Inc,Scottfurt,Discover,0
49,1189,849.44,2024-01-01 00:48:00,POS,"Dominguez, Ho and Thomas",Jamesshire,,0
50,4005,3875.42,2024-01-01 00:49:00,ATM Withdrawal,Cisneros-Baker,Melanieville,Visa,0
51,3734,652.88,2024-01-01 00:50:00,ATM Withdrawal,Patterson Ltd,New Michellechester,Discover,0
52,4005,,2024-01-01 00:51:00,,Christensen Group,South Georgeberg,MasterCard,0
53,1562,,2024-01-01 00:52:00,POS,Cole-Choi,Alyssamouth,Amex,0
54,2899,3438.51,2024-01-01 00:53:00,POS,Walker Inc,Conleyberg,Amex,0
55,4638,3168.25,2024-01-01 00:54:00,ATM Withdrawal,Bray PLC,Toddborough,MasterCard,0
56,2267,4054.55,2024-01-01 00:55:00,Online,Boyd Inc,East Charles,Visa,0
57,3879,228.53,2024-01-01 00:56:00,,"Meyer, Kelly and Morales",Davischester,Visa,0
